ticker,date,period_ending,estimate,reported,surprise,surprise%
ISRG,2021-07-20,Jun-21,1.05,1.31,0.26,24.76
IT,2021-08-03,Jun-21,1.74,2.24,0.5,28.74
ITCI,2021-08-09,Jun-21,-0.79,-0.85,-0.06,-7.59
ITGR,2021-07-29,Jun-21,0.91,1.07,0.16,17.58
ITRI,2021-08-05,Jun-21,0.5,0.28,-0.22,-44
ITT,2021-08-05,Jun-21,0.9,0.94,0.04,4.44
ITW,2021-07-30,Jun-21,2.07,2.1,0.03,1.45
IVR,2021-08-04,Jun-21,0.09,0.1,0.01,11.11
IVZ,2021-07-27,Jun-21,0.71,0.78,0.07,9.86
JACK,2021-08-04,Jun-21,1.46,1.79,0.33,22.6
JAMF,2021-08-10,Jun-21,0.05,0.06,0.01,20
JAZZ,2021-08-03,Jun-21,3.55,3.9,0.35,9.86
JBGS,2021-08-03,Jun-21,0.33,-0.03,-0.36,-109.09
JBHT,2021-07-19,Jun-21,1.55,1.61,0.06,3.87
JBL,2021-06-17,May-21,1.03,1.3,0.27,26.21
JBLU,2021-07-27,Jun-21,-0.73,-0.64,0.09,12.33
JBT,2021-07-27,Jun-21,1,1.19,0.19,19
JCI,2021-07-30,Jun-21,0.83,0.83,0,0
JEF,2021-06-28,May-21,0.86,1.31,0.45,52.33
JELD,2021-08-02,Jun-21,0.61,0.59,-0.02,-3.28
JHG,2021-07-29,Jun-21,0.99,1.16,0.17,17.17
JJSF,2021-07-26,Jun-21,0.79,1.51,0.72,91.14
JKHY,2021-08-17,Jun-21,0.93,1.04,0.11,11.83
JLL,2021-08-04,Jun-21,1.44,4.2,2.76,191.67
JNCE,2021-08-05,Jun-21,-0.38,-0.08,0.3,78.95
JNJ,2021-07-21,Jun-21,2.28,2.48,0.2,8.77
JNPR,2021-07-27,Jun-21,0.39,0.43,0.04,10.26
JPM,2021-07-13,Jun-21,3.1,3.78,0.68,21.94
JRVR,2021-08-04,Jun-21,0.53,0.54,0.01,1.89
JWN,2021-08-24,Jul-21,0.26,0.49,0.23,88.46
JYNT,2021-08-05,Jun-21,0.05,0.18,0.13,260
K,2021-08-05,Jun-21,1.03,1.14,0.11,10.68
